team,Pass_EPA,Run_EPA,Total_EPA,Total_Plays
ARI,0.009496254744524937,-0.08611388607509092,-19.87483335071521,847
ATL,-0.03128780490326746,-0.007031100945311035,-17.64777810711471,854
BAL,-0.09187312338312113,0.05974035687581508,-14.108110630850263,746
BUF,0.17333789780400305,0.09208930449923369,108.71674583238241,810
CAR,-0.05624103452084048,-0.0007858376453842821,-24.578242627696042,791
CHI,0.048888895569577075,0.08447758058477188,55.97760255859031,856
CIN,-0.057778078750816746,0.015845563151158353,-25.85113088922157,780
CLE,-0.25361283462104134,-0.07053819189357742,-145.34937329548205,807
DAL,0.16466881452335091,0.0033378246400754203,85.72122584838681,838
DEN,0.0719014474918192,0.04051198455592646,48.82549103854263,824
DET,0.1785152857822806,0.027235815768276647,88.06712583850462,784
GB,0.278334784745039,0.017440839802103623,119.87417618433741,770
HOU,0.021947997194365517,-0.05837364596020514,-9.340493236642939,837
IND,0.10993550343923825,0.1433131059258215,96.50125019783376,777
JAX,-0.025925255138400844,0.021273906678468936,-3.9977700338941506,826
KC,0.14277669781891064,0.06335951743028624,93.438332109598,843
LA,0.21023553826697572,0.04371234860143198,108.09437420360067,770
LAC,-0.0385371107622073,0.024702389466220897,-9.841109184511955,833
LV,-0.1524928123344845,-0.2637679629586027,-141.89157959860282,732
MIA,-0.008662197803761753,0.01823477012130394,2.4892285103579264,728
MIN,-0.20616705838778718,-0.0345338726518862,-100.45205777845827,722
NE,0.26045499990464455,-0.07354777807902818,85.36527874113285,783
NO,-0.14913838841695345,-0.10099289462691251,-104.8177906794387,810
NYG,0.0031289759853351364,0.012896808962642711,6.360413835055612,834
NYJ,-0.1251955491084451,-0.050487410127631846,-70.00233307200119,768
PHI,0.02547810160403505,-0.02093515157574174,3.3490052734779185,749
PIT,0.010346417710677394,-0.0012514012987754062,3.985091864437191,708
SEA,0.16623591037796157,-0.08080130464188713,32.03334384993373,747
SF,0.1232056403486545,-0.03285790880943733,46.65279416126186,822
TB,-0.05426323707005484,0.023429183461725803,-18.477630394482077,876
TEN,-0.2425547762474783,-0.08957094837958829,-141.79706447362452,753
WAS,-0.014175119500428027,0.030758952751649866,5.202314803665958,771
